StartMethod,StartNumber,Odds,Track,Firstprize,Distance,Front,Back,Driver,LastPlace,LastStart,Season,TrackCondition,Place
auto,1,3053,Mantorp,20000000,1640,true,true,And MJ,3,10,SPRING,light,0
auto,2,144,Mantorp,20000000,1640,true,true,Adi Er,1,35,SPRING,light,0
auto,3,1040,Mantorp,20000000,1640,true,true,Kol Lu,16,242,SPRING,light,0
auto,4,7227,Mantorp,20000000,1640,true,true,Söd St,7,14,SPRING,light,0
auto,5,1176,Mantorp,20000000,1640,true,true,Jep CJ,6,14,SPRING,light,0
auto,6,2975,Mantorp,20000000,1640,true,true,Tak Jo,4,21,SPRING,light,0
auto,7,614,Mantorp,20000000,1640,true,true,Wid Ka,4,14,SPRING,light,0
auto,8,2836,Mantorp,20000000,1640,true,true,Kih Ör,1,144,SPRING,light,0
auto,9,1390,Mantorp,20000000,1640,true,true,Ohl Ul,7,112,SPRING,light,0
auto,10,3477,Mantorp,20000000,1640,true,true,Unt Jo,1,10,SPRING,light,0
