StartMethod,StartNumber,Odds,Track,Firstprize,Distance,Front,Back,Driver,LastPlace,LastStart,Season,TrackCondition,Place
auto,4,260,Solvalla,4000000,2640,false,true,Ohl Ul,0,0,AUTUMN,light,1
auto,6,200,Solvalla,7000000,2140,true,true,Ohl Ul,1,28,AUTUMN,light,1
auto,4,190,Eskilstuna,10000000,1640,true,true,Ohl Ul,1,11,AUTUMN,light,5
auto,4,140,Solvalla,3000000,2140,true,true,Goo Bj,5,40,WINTER,light,1
auto,7,180,Gävle,10000000,2140,true,true,Ohl Ul,1,11,WINTER,light,1
auto,11,310,Jägersro,11000000,1640,true,true,Ohl Ul,1,11,WINTER,light,2
auto,2,750,Solvalla,20000000,2140,true,true,Ohl Ul,2,35,WINTER,light,7
auto,3,420,Solvalla,6000000,2140,true,true,Ohl Ul,7,66,SPRING,light,4
auto,6,480,Solvalla,5000000,1640,true,true,Ohl Ul,4,28,SPRING,light,1
auto,4,190,Gävle,11000000,2140,false,false,Ohl Ul,1,10,SPRING,light,1
auto,6,540,Kalmar,12500000,2140,false,false,Ohl Ul,1,29,SUMMER,light,2
auto,6,730,Hagmyren,12500000,2140,false,true,Ohl Ul,2,34,SUMMER,light,3
auto,3,840,Åby,22000000,2140,false,true,Ohl Ul,3,21,SUMMER,light,7
auto,9,840,Bollnäs,12500000,1640,false,false,Ohl Ul,7,28,AUTUMN,light,2
auto,2,300,Solvalla,22000000,2140,false,false,Ohl Ul,2,14,AUTUMN,light,3
auto,6,130,Jägersro,12500000,1640,false,false,Ohl Ul,3,28,AUTUMN,light,1
auto,7,660,Solvalla,22000000,2140,false,false,Ohl Ul,1,21,AUTUMN,light,2
volte,4,250,Eskilstuna,3500000,1640,false,false,Ohl Ul,2,142,SPRING,light,1
auto,6,780,Solvalla,8000000,1640,false,false,Ohl Ul,1,22,SPRING,light,6
auto,9,260,Bollnäs,10000000,2140,false,false,Ohl Ul,6,43,SUMMER,light,4
auto,4,210,Jägersro,10000000,1609,false,false,Ohl Ul,4,47,SUMMER,light,1
auto,8,6070,Bergsåker,100000000,2140,false,false,Ohl Ul,1,32,SUMMER,light,7
auto,7,1750,Jägersro,15000000,1640,false,true,Goo Bj,7,7,AUTUMN,light,4
auto,7,170,Solänget,15000000,2148,false,true,Ohl Ul,4,14,AUTUMN,light,1
auto,5,400,Solvalla,25000000,2140,false,true,Goo Bj,1,7,AUTUMN,light,1
auto,7,2710,Solvalla,25000000,2140,false,false,Len Pe,16,35,AUTUMN,light,7
auto,3,220,Mantorp,15000000,2140,false,false,Ohl Ul,7,119,SPRING,light,1
auto,1,130,Solvalla,8000000,1640,false,false,Ohl Ul,1,17,SPRING,light,1
auto,4,370,Gävle,40000000,1609,false,false,Ohl Ul,1,38,SPRING,light,5
auto,7,2210,Östersund,70000000,2140,false,false,Ohl Ul,5,21,SUMMER,light,5
auto,4,280,Bergsåker,10000000,1640,false,true,Ohl Ul,5,76,SUMMER,light,7
auto,4,200,Solänget,15000000,2140,false,true,Ohl Ul,7,15,AUTUMN,light,1
auto,9,2990,Bergsåker,15000000,2140,false,true,Ohl Ul,1,56,AUTUMN,light,7
auto,7,1610,Jägersro,15000000,2140,true,true,Ohl Ul,7,28,WINTER,light,7
